store_id,product_id,daily_revenue,orders_count,high_value_item_ratio,avg_unit_price,lag_1_qty,lag_7_qty,lag_14_qty,lag_30_qty,rolling_7_mean_qty,rolling_7_sum_qty,rolling_14_mean_qty,rolling_14_sum_qty,rolling_30_mean_qty,rolling_30_sum_qty,cumulative_qty,cumulative_revenue,rolling_30_std_qty,qty_growth_rate,day,month,year,day_of_week,is_weekend,is_month_start,is_month_end,week,dayofweek,predicted_qty
1,256783,1813.0799560546875,1,1.0,906.5399780273438,,,,,,,,,,,2.0,1813.0799560546875,,,2,7,2024,1,0,False,False,27,1,2.0000012
2,451933,568.9400024414062,1,0.0,568.9400024414062,,,,,,,,,,,1.0,568.9400024414062,,,11,9,2023,0,0,False,False,37,0,1.0000346
9,712307,529.780029296875,1,0.0,264.8900146484375,,,,,,,,,,,2.0,529.780029296875,,,11,10,2023,2,0,False,False,41,2,1.9999243
12,820973,343.5599899291992,1,0.0,114.5199966430664,,,,,,,,,,,3.0,343.5599899291992,,,21,3,2024,3,0,False,False,12,3,3.000068
14,942001,1343.0999755859375,1,0.0,671.5499877929688,,,,,,,,,,,2.0,1343.0999755859375,,,29,5,2024,2,0,False,False,22,2,2.0000296
15,455083,1918.02001953125,1,1.0,959.010009765625,,,,,,,,,,,2.0,1918.02001953125,,,9,9,2023,5,1,False,False,36,5,2.0000012
16,669378,424.2799987792969,1,0.0,212.13999938964844,,,,,,,,,,,2.0,424.2799987792969,,,12,5,2024,6,1,False,False,19,6,1.9992625
17,903336,551.8800048828125,1,0.0,551.8800048828125,,,,,,,,,,,1.0,551.8800048828125,,,9,3,2024,5,1,False,False,10,5,1.0000362
18,839170,481.6300048828125,1,0.0,481.6300048828125,,,,,,,,,,,1.0,481.6300048828125,,,24,5,2023,2,0,False,False,21,2,0.99995273
19,942001,671.5499877929688,1,0.0,671.5499877929688,,,,,,,,,,,1.0,671.5499877929688,,,23,5,2024,3,0,False,False,21,3,1.0000362
20,34200,319.79998779296875,1,0.0,319.79998779296875,,,,,,,,,,,1.0,319.79998779296875,,,21,1,2024,6,1,False,False,3,6,1.0000335
22,578097,267.6099853515625,1,0.0,267.6099853515625,,,,,,,,,,,1.0,267.6099853515625,,,10,12,2023,6,1,False,False,49,6,1.0000291
25,707935,1641.800048828125,1,1.0,820.9000244140625,,,,,,,,,,,2.0,1641.800048828125,,,27,10,2024,6,1,False,False,43,6,2.0000033
28,449106,48.54999923706055,1,0.0,48.54999923706055,,,,,,,,,,,1.0,48.54999923706055,,,5,7,2024,4,0,False,False,27,4,1.0000318
30,659290,958.019989013672,1,0.0,319.3399963378906,,,,,,,,,,,3.0,958.019989013672,,,18,8,2023,4,0,False,False,33,4,3.000121
36,52729,632.0399780273438,1,0.0,316.0199890136719,,,,,,,,,,,2.0,632.0399780273438,,,7,7,2023,4,0,False,False,27,4,2.0000315
39,284460,505.9500122070313,1,0.0,505.9500122070313,,,,,,,,,,,1.0,505.9500122070313,,,5,7,2024,4,0,False,False,27,4,1.000039
40,300159,133.04999542236325,1,0.0,44.34999847412109,,,,,,,,,,,3.0,133.04999542236325,,,16,7,2024,1,0,False,False,29,1,2.999999
43,623234,329.7900085449219,1,0.0,329.7900085449219,,,,,,,,,,,1.0,329.7900085449219,,,1,4,2023,5,1,True,False,13,5,1.0000291
45,491314,2920.3200073242188,1,1.0,973.4400024414062,,,,,,,,,,,3.0,2920.3200073242188,,,26,6,2024,2,0,False,False,26,2,3.0000095
47,820541,1728.659912109375,1,0.0,576.219970703125,,,,,,,,,,,3.0,1728.659912109375,,,2,9,2024,0,0,False,False,36,0,3.0000203
48,324809,1216.0,1,0.0,608.0,,,,,,,,,,,2.0,1216.0,,,1,1,2024,0,0,True,False,1,0,1.9999899
49,891833,493.1900024414063,1,0.0,493.1900024414063,,,,,,,,,,,1.0,493.1900024414063,,,28,8,2024,2,0,False,False,35,2,0.9999418
53,557908,2827.109985351563,1,1.0,942.3699951171876,,,,,,,,,,,3.0,2827.109985351563,,,12,9,2024,3,0,False,False,37,3,3.0000095
55,784673,982.780029296875,1,0.0,491.3900146484375,,,,,,,,,,,2.0,982.780029296875,,,5,8,2024,0,0,False,False,32,0,1.9998893
56,642612,517.030029296875,1,0.0,517.030029296875,,,,,,,,,,,1.0,517.030029296875,,,16,5,2024,3,0,False,False,20,3,1.0000346
57,183929,2216.219970703125,1,0.0,738.739990234375,,,,,,,,,,,3.0,2216.219970703125,,,10,11,2023,4,0,False,False,45,4,3.0000095
59,961614,454.4400024414063,1,0.0,227.22000122070312,,,,,,,,,,,2.0,454.4400024414063,,,15,5,2023,0,0,False,False,20,0,1.9999574
60,70969,631.7000122070312,1,0.0,631.7000122070312,,,,,,,,,,,1.0,631.7000122070312,,,20,9,2023,2,0,False,False,38,2,1.000039
62,257719,563.4600219726562,1,0.0,281.7300109863281,,,,,,,,,,,2.0,563.4600219726562,,,21,6,2024,4,0,False,False,25,4,2.0000315
63,237083,1154.260009765625,1,0.0,577.1300048828125,,,,,,,,,,,2.0,1154.260009765625,,,30,7,2024,1,0,False,False,31,1,1.9999899
68,689769,46.619998931884766,1,0.0,46.619998931884766,,,,,,,,,,,1.0,46.619998931884766,,,11,2,2024,6,1,False,False,6,6,1.0000318
70,140154,342.3999938964844,1,0.0,171.1999969482422,,,,,,,,,,,2.0,342.3999938964844,,,20,10,2023,4,0,False,False,42,4,2.0000443
71,82484,914.8800048828124,1,1.0,914.8800048828124,,,,,,,,,,,1.0,914.8800048828124,,,11,7,2023,1,0,False,False,28,1,1.0000241
73,700048,423.8399963378906,1,0.0,141.27999877929688,,,,,,,,,,,3.0,423.8399963378906,,,24,10,2023,1,0,False,False,43,1,2.9986265
75,669378,212.13999938964844,1,0.0,212.13999938964844,,,,,,,,,,,1.0,212.13999938964844,,,31,3,2024,6,1,False,True,13,6,1.0000635
76,721521,834.780029296875,1,0.0,417.3900146484375,,,,,,,,,,,2.0,834.780029296875,,,3,11,2023,4,0,False,False,44,4,1.9999684
78,798639,211.25,1,0.0,211.25,,,,,,,,,,,1.0,211.25,,,30,4,2024,1,0,False,True,18,1,1.000103
80,60619,2179.2299194335938,1,0.0,726.4099731445312,,,,,,,,,,,3.0,2179.2299194335938,,,3,4,2024,2,0,False,False,14,2,3.0000095
82,114414,1664.1199951171875,1,1.0,832.0599975585938,,,,,,,,,,,2.0,1664.1199951171875,,,5,7,2024,4,0,False,False,27,4,2.0000012
84,992178,1264.8599853515625,1,0.0,632.4299926757812,,,,,,,,,,,2.0,1264.8599853515625,,,7,10,2024,0,0,False,False,41,0,1.9999827
85,760684,71.5999984741211,1,0.0,71.5999984741211,,,,,,,,,,,1.0,71.5999984741211,,,10,2,2024,5,1,False,False,6,5,1.0000648
86,136533,1652.4200439453125,1,1.0,826.2100219726562,,,,,,,,,,,2.0,1652.4200439453125,,,5,4,2024,4,0,False,False,14,4,2.0000012
87,942001,2014.6499633789065,1,0.0,671.5499877929688,,,,,,,,,,,3.0,2014.6499633789065,,,8,9,2023,4,0,False,False,36,4,3.0000095
88,679284,2633.6700439453125,1,1.0,877.8900146484375,,,,,,,,,,,3.0,2633.6700439453125,,,25,10,2024,4,0,False,False,43,4,3.0000095
90,992178,1897.289978027344,1,0.0,632.4299926757812,,,,,,,,,,,3.0,1897.289978027344,,,3,11,2024,6,1,False,False,44,6,3.0000198
94,361361,2478.6300659179688,1,1.0,826.2100219726562,,,,,,,,,,,3.0,2478.6300659179688,,,7,1,2024,6,1,False,False,1,6,3.0000095
97,952168,710.8499908447266,1,0.0,236.9499969482422,,,,,,,,,,,3.0,710.8499908447266,,,2,8,2024,4,0,False,False,31,4,3.0000734
98,760828,1126.9000244140625,1,0.0,563.4500122070312,,,,,,,,,,,2.0,1126.9000244140625,,,10,8,2023,3,0,False,False,32,3,1.9999869
99,136533,1652.4200439453125,1,1.0,826.2100219726562,,,,,,,,,,,2.0,1652.4200439453125,,,19,9,2023,1,0,False,False,38,1,2.0000012
100,661577,720.9500122070312,1,0.0,720.9500122070312,,,,,,,,,,,1.0,720.9500122070312,,,26,7,2023,2,0,False,False,30,2,1.0000346
101,876139,415.75,1,0.0,415.75,,,,,,,,,,,1.0,415.75,,,16,5,2023,1,0,False,False,20,1,1.0000061
102,799459,852.02001953125,1,1.0,852.02001953125,,,,,,,,,,,1.0,852.02001953125,,,16,6,2024,6,1,False,False,24,6,1.0000241
103,762527,690.0800170898438,1,0.0,690.0800170898438,,,,,,,,,,,1.0,690.0800170898438,,,3,5,2023,2,0,False,False,18,2,1.0000346
106,969851,1021.980010986328,1,0.0,340.6600036621094,,,,,,,,,,,3.0,1021.980010986328,,,17,11,2023,4,0,False,False,46,4,2.9998953
109,378676,2644.2599487304688,1,1.0,881.4199829101562,,,,,,,,,,,3.0,2644.2599487304688,,,18,3,2023,5,1,False,False,11,5,3.0000095
112,317242,198.1499938964844,1,0.0,198.1499938964844,,,,,,,,,,,1.0,198.1499938964844,,,24,6,2024,0,0,False,False,26,0,0.99920714
113,53833,134.69000244140625,1,0.0,134.69000244140625,,,,,,,,,,,1.0,134.69000244140625,,,24,11,2023,4,0,False,False,47,4,1.0000548
115,500739,719.9600219726562,1,0.0,359.9800109863281,,,,,,,,,,,2.0,719.9600219726562,,,31,3,2024,6,1,False,True,13,6,1.9999549
118,784673,491.3900146484375,1,0.0,491.3900146484375,,,,,,,,,,,1.0,491.3900146484375,,,24,1,2024,2,0,False,False,4,2,0.9999401
119,440875,825.0899963378906,1,0.0,275.0299987792969,,,,,,,,,,,3.0,825.0899963378906,,,28,5,2023,6,1,False,False,21,6,3.0001059
120,6405,473.01998901367193,1,0.0,236.509994506836,,,,,,,,,,,2.0,473.01998901367193,,,27,9,2023,2,0,False,False,39,2,1.9998891
122,762527,2070.2400512695312,1,0.0,690.0800170898438,,,,,,,,,,,3.0,2070.2400512695312,,,22,11,2023,2,0,False,False,47,2,3.0000095
123,313754,409.8000183105469,1,0.0,136.60000610351562,,,,,,,,,,,3.0,409.8000183105469,,,26,8,2024,0,0,False,False,35,0,3.0002596
124,435929,2570.6700439453125,1,1.0,856.8900146484375,,,,,,,,,,,3.0,2570.6700439453125,,,5,2,2024,0,0,False,False,6,0,3.0000095
125,274207,657.02001953125,1,0.0,328.510009765625,,,,,,,,,,,2.0,657.02001953125,,,21,11,2023,1,0,False,False,47,1,2.0001428
128,171602,883.4400024414062,1,1.0,883.4400024414062,,,,,,,,,,,1.0,883.4400024414062,,,26,8,2024,0,0,False,False,35,0,1.0000241
129,4452,169.8800048828125,1,0.0,169.8800048828125,,,,,,,,,,,1.0,169.8800048828125,,,20,11,2023,0,0,False,False,47,0,1.0000064
133,818522,192.17999267578125,1,0.0,96.08999633789062,,,,,,,,,,,2.0,192.17999267578125,,,8,4,2023,5,1,False,False,14,5,2.000101
134,712307,264.8900146484375,1,0.0,264.8900146484375,,,,,,,,,,,1.0,264.8900146484375,,,6,2,2024,1,0,False,False,6,1,1.0000291
