order_id,product_id,quantity,unit_price,total_price,avg_price_per_unit,is_bulk_order,high_value_item,item_revenue,item_cost_estimation,item_profit_estimation,customer_id,order_date,order_total,payment_method,store_id,promised_delivery_time,actual_delivery_time,delivery_status,delivery_delay_hrs,order_day,order_week,order_month,order_year,day_of_week,is_weekend,order_hour,is_peak_hour,on_time_delivery,actual_delivery_day,promised_delivery_day,delivery_diff_days,delivery_speed_hrs,is_cod,is_high_value_order,log_order_total,daily_order_flag,is_month_start,is_month_end,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level,profit_per_unit,discount_percentage,profit_margin_value,discount_amount,discount_flag,price_mrp_ratio,stock_range,stock_volatility,is_top_brand,is_top_category,high_margin_flag,long_shelf_life_flag,is_premium_product,is_budget_product,profit_score
60465,361361,2.0,826.2100219726562,1652.4200439453125,826.2100219726562,0,1,1652.4200439453125,578.3470153808594,1074.0730285644531,15808945.0,2024-10-23 05:23:29,589.469970703125,upi,3943.0,2024-10-23 05:34:29,2024-10-23 05:39:29,On Time,0.0833333333333333,23.0,43.0,10.0,2024.0,2.0,0.0,5.0,0.0,0.0,2024-10-23,2024-10-23,0.003472222222222222,0.26666666666666666,0.0,0.0,6.380918780327584,1.0,0.0,0.0,Biscuits,Snacks & Munchies,"Kunda, Dave and Sahni",826.2100219726562,1271.0899658203125,35.0,90,20,64,444.87994384765625,0.3499987851454306,289.1735076904297,444.87994384765625,1,0.6500012097408385,44,2.0952380952380953,0,1,1,0,1,0,1.7169697388711735
2237858,585299,1.0,799.4600219726562,799.4600219726562,799.4600219726562,0,1,799.4600219726562,559.6220153808594,239.8380065917969,48281892.0,2023-04-02 03:45:11,3835.260009765625,wallet,1987.0,2023-04-02 04:00:11,2023-04-02 04:03:11,On Time,0.05,2.0,13.0,4.0,2023.0,6.0,1.0,3.0,0.0,0.0,2023-04-02,2023-04-02,0.0020833333333333333,0.3,0.0,1.0,8.252253215188443,1.0,0.0,0.0,Pet Treats,Pet Care,"Sharma, Chandra and Prashad",799.4600219726562,1229.93994140625,35.0,365,13,50,430.47991943359375,0.3500007642173204,279.8110076904297,430.47991943359375,1,0.649999230497875,37,2.642857142857143,0,0,1,1,1,0,1.6131908824434833
3101265,300159,1.0,44.34999847412109,44.34999847412109,44.34999847412109,0,0,44.34999847412109,31.04499893188476,13.304999542236327,89617089.0,2024-05-23 03:21:47,3567.72998046875,upi,974.0,2024-05-23 03:37:47,2024-05-23 03:40:47,On Time,0.05,23.0,21.0,5.0,2024.0,3.0,0.0,3.0,0.0,0.0,2024-05-23,2024-05-23,0.0020833333333333333,0.31666666666666665,0.0,1.0,8.17996506371258,1.0,0.0,0.0,Cola,Cold Drinks & Juices,"Basu, Rout and Mistry",44.34999847412109,63.36000061035156,30.0,180,20,93,19.01000213623047,0.3000315964820977,13.304999542236326,19.010002136230476,1,0.6999682930431094,73,3.4761904761904763,0,0,1,0,0,1,-1.3409013746169332
5120698,187399,1.0,53.4900016784668,53.4900016784668,53.4900016784668,0,0,53.4900016784668,37.443001174926756,16.04700050354004,44174426.0,2023-06-09 12:10:20,3064.360107421875,wallet,3184.0,2023-06-09 12:25:20,2023-06-09 12:40:20,Slightly Delayed,0.25,9.0,23.0,6.0,2023.0,4.0,0.0,12.0,0.0,0.0,2023-06-09,2023-06-09,0.010416666666666666,0.5,0.0,1.0,8.027920331655462,1.0,0.0,0.0,Frozen Pizza,Instant & Frozen Food,Chauhan Inc,53.4900016784668,89.1500015258789,40.0,180,14,73,35.65999984741211,0.3999999914420702,21.39600067138672,35.65999984741211,1,0.599999941255638,59,3.933333333333333,0,0,1,0,0,1,-1.2512164780040225
5512907,659290,3.0,319.3399963378906,958.0199890136719,319.3399963378906,0,0,958.0199890136719,223.53799743652343,734.4819915771484,51476157.0,2023-04-30 20:52:21,861.530029296875,wallet,419.0,2023-04-30 21:11:21,2023-04-30 21:26:21,Slightly Delayed,0.25,30.0,17.0,4.0,2023.0,6.0,1.0,20.0,1.0,0.0,2023-04-30,2023-04-30,0.010416666666666666,0.5666666666666667,0.0,0.0,6.759869964875519,1.0,0.0,1.0,Cheese,Dairy & Breakfast,Kapadia-D’Alia,319.3399963378906,399.1700134277344,20.0,7,18,66,79.83001708984375,0.1999900152928099,63.86799926757813,79.83001708984375,1,0.8000099646653549,48,2.526315789473684,0,1,0,0,0,0,-0.7804345880695817
7550508,140154,2.0,171.1999969482422,342.3999938964844,171.1999969482422,0,0,342.3999938964844,119.83999786376953,222.55999603271485,93127511.0,2023-10-20 10:54:27,1067.6800537109375,card,70.0,2023-10-20 11:07:27,2023-10-20 11:06:27,On Time,-0.0166666666666666,20.0,42.0,10.0,2023.0,4.0,0.0,10.0,0.0,1.0,2023-10-20,2023-10-20,-0.0006944444444444445,0.2,0.0,0.0,6.974179571289058,1.0,0.0,0.0,Shampoo,Personal Care,Malhotra LLC,171.1999969482422,263.3800048828125,35.0,365,24,59,92.18000793457033,0.3499886332509736,59.91999893188476,92.18000793457031,1,0.6500113420694255,35,1.4,0,1,1,1,0,1,-0.8241962927440163
8701796,672059,2.0,672.72998046875,1345.4599609375,672.72998046875,0,0,1345.4599609375,470.910986328125,874.548974609375,14479168.0,2024-08-19 19:01:44,215.6499938964844,cash,1925.0,2024-08-19 19:14:44,2024-08-19 19:23:44,Slightly Delayed,0.15,19.0,34.0,8.0,2024.0,0.0,0.0,19.0,1.0,0.0,2024-08-19,2024-08-19,0.00625,0.36666666666666664,0.0,0.0,5.378283120013679,1.0,0.0,0.0,Toothpaste,Personal Care,Kaur-Gola,672.72998046875,1034.969970703125,35.0,365,25,81,362.239990234375,0.3500004835775872,235.4554931640625,362.239990234375,1,0.649999510142042,56,2.1538461538461537,0,1,1,1,0,0,1.121531114880527
9408428,124290,1.0,39.650001525878906,39.650001525878906,39.650001525878906,0,0,39.650001525878906,27.755001068115234,11.895000457763672,31456752.0,2023-08-30 13:34:14,1911.8599853515625,upi,9889.0,2023-08-30 13:54:14,2023-08-30 13:50:14,On Time,-0.0666666666666666,30.0,35.0,8.0,2023.0,2.0,0.0,13.0,0.0,1.0,2023-08-30,2023-08-30,-0.002777777777777778,0.26666666666666666,0.0,0.0,7.556354775622896,1.0,0.0,1.0,Lotion,Personal Care,Sachdev Group,39.650001525878906,61.0,35.0,365,23,71,21.349998474121094,0.3499999749855917,13.877500534057617,21.349998474121094,1,0.6499999184570446,48,2.0,0,1,1,1,0,1,-1.3345554736038563
10161194,382511,1.0,702.5399780273438,702.5399780273438,702.5399780273438,0,0,702.5399780273438,491.77798461914057,210.76199340820318,63238941.0,2023-12-24 23:10:35,3827.5400390625,card,6592.0,2023-12-24 23:28:35,2023-12-24 23:31:35,On Time,0.05,24.0,51.0,12.0,2023.0,6.0,1.0,23.0,0.0,0.0,2023-12-24,2023-12-24,0.0020833333333333333,0.35,0.0,1.0,8.250238818657692,1.0,0.0,0.0,Butter,Dairy & Breakfast,Bora-Thakkar,702.5399780273438,878.1699829101562,20.0,7,26,88,175.6300048828125,0.1999954545255515,140.50799560546875,175.6300048828125,1,0.8000045363645433,62,2.2962962962962963,0,1,0,0,0,0,0.06908329460797678
10448052,945635,2.0,778.9000244140625,1557.800048828125,778.9000244140625,0,0,1557.800048828125,545.2300170898437,1012.5700317382813,90021871.0,2023-08-05 10:01:05,1228.8599853515625,upi,1064.0,2023-08-05 10:21:05,2023-08-05 10:26:05,On Time,0.0833333333333333,5.0,31.0,8.0,2023.0,5.0,1.0,10.0,0.0,0.0,2023-08-05,2023-08-05,0.003472222222222222,0.4166666666666667,0.0,0.0,7.11465560883948,1.0,0.0,0.0,Pulses,Grocery & Staples,Balasubramanian PLC,778.9000244140625,916.3499755859376,15.0,365,16,59,137.449951171875,0.1499972224956802,116.83500366210937,137.4499511718751,1,0.8500027682283575,43,2.5294117647058822,0,0,0,1,0,0,-0.1933205539478316
11467999,747801,3.0,277.760009765625,833.280029296875,277.760009765625,0,0,833.280029296875,194.4320068359375,638.8480224609375,78267238.0,2023-04-23 18:37:26,3051.18994140625,upi,5146.0,2023-04-23 18:57:26,2023-04-23 19:11:26,Slightly Delayed,0.2333333333333333,23.0,16.0,4.0,2023.0,6.0,1.0,18.0,1.0,0.0,2023-04-23,2023-04-23,0.009722222222222222,0.5666666666666667,0.0,1.0,8.023614625528852,1.0,0.0,0.0,Toilet Cleaner,Household Care,Saha-Vora,277.760009765625,370.3500061035156,25.0,365,23,71,92.58999633789062,0.2500067363628205,69.44000244140625,92.58999633789062,1,0.7499932433862484,48,2.0,0,1,0,1,0,0,-0.718671584876915
14103943,228286,1.0,179.0800018310547,179.0800018310547,179.0800018310547,0,0,179.0800018310547,125.35600128173827,53.724000549316415,9105829.0,2023-11-24 08:47:35,1538.300048828125,cash,6791.0,2023-11-24 09:07:35,2023-11-24 09:18:35,Slightly Delayed,0.1833333333333333,24.0,47.0,11.0,2023.0,4.0,0.0,8.0,0.0,0.0,2023-11-24,2023-11-24,0.007638888888888889,0.5166666666666667,0.0,0.0,7.339083078337022,1.0,0.0,0.0,Cola,Cold Drinks & Juices,Bhattacharyya PLC,179.0800018310547,255.8300018310547,30.0,180,26,79,76.75,0.3000039066984968,53.72400054931641,76.75,1,0.6999960659397372,53,1.962962962962963,0,0,1,0,0,1,-0.8928759858356864
15642223,937542,3.0,97.04000091552734,291.12000274658203,97.04000091552734,0,0,291.12000274658203,67.92800064086913,223.1920021057129,85020453.0,2023-11-06 21:10:23,1712.739990234375,cash,864.0,2023-11-06 21:24:23,2023-11-06 21:27:23,On Time,0.05,6.0,45.0,11.0,2023.0,0.0,0.0,21.0,1.0,0.0,2023-11-06,2023-11-06,0.0020833333333333333,0.2833333333333333,0.0,0.0,7.446433390004251,1.0,0.0,0.0,Wheat Flour,Grocery & Staples,Khurana and Sons,97.04000091552734,114.16000366210938,15.0,365,28,93,17.12000274658203,0.1499649807059729,14.5560001373291,17.12000274658203,1,0.8500349448340658,65,2.2413793103448274,0,0,0,1,0,1,-1.3270346284327847
16878685,432617,2.0,863.1799926757812,1726.3599853515625,863.1799926757812,0,1,1726.3599853515625,604.2259948730468,1122.1339904785157,37556526.0,2024-04-09 02:29:02,4267.93994140625,cash,9683.0,2024-04-09 02:44:02,2024-04-09 02:47:02,On Time,0.05,9.0,15.0,4.0,2024.0,1.0,0.0,2.0,0.0,0.0,2024-04-09,2024-04-09,0.0020833333333333333,0.3,0.0,1.0,8.359120818119822,1.0,0.0,0.0,Baby Wipes,Baby Care,Dora-Pillai,863.1799926757812,1233.1099853515625,30.0,365,17,97,369.9299926757813,0.2999975647511388,258.95399780273436,369.92999267578125,1,0.7000024295721378,80,4.444444444444445,0,0,1,1,1,0,1.3820008547109286
22830983,890232,3.0,432.0,1296.0,432.0,0,0,1296.0,302.4,993.6,92404798.0,2023-06-04 21:10:12,3061.389892578125,upi,2086.0,2023-06-04 21:26:12,2023-06-04 21:44:12,Significantly Delayed,0.3,4.0,22.0,6.0,2023.0,6.0,1.0,21.0,1.0,0.0,2023-06-04,2023-06-04,0.0125,0.5666666666666667,0.0,1.0,8.026950900762765,1.0,0.0,0.0,Mango Drink,Cold Drinks & Juices,Jha Group,432.0,617.1400146484375,30.0,180,20,91,185.1400146484375,0.2999967758595351,129.6,185.1400146484375,1,0.700003212797768,71,3.380952380952381,1,0,1,0,0,0,-0.051826645029279916
23158044,669378,1.0,212.13999938964844,212.13999938964844,212.13999938964844,0,0,212.13999938964844,148.49799957275388,63.641999816894554,31681710.0,2023-05-19 19:28:28,2726.699951171875,upi,919.0,2023-05-19 19:41:28,2023-05-19 19:41:28,On Time,0.0,19.0,20.0,5.0,2023.0,4.0,0.0,19.0,1.0,1.0,2023-05-19,2023-05-19,0.0,0.21666666666666667,0.0,1.0,7.911214024340806,1.0,0.0,0.0,Potatoes,Fruits & Vegetables,Chadha and Sons,212.13999938964844,282.8500061035156,25.0,3,23,70,70.71000671386719,0.2499911797349907,53.03499984741211,70.71000671386719,1,0.750008793748878,47,1.9583333333333333,0,1,0,0,0,1,-0.9005132306871153
