order_id,product_id,quantity,unit_price
60465,361361,2,826.2100219726562
2237858,585299,1,799.4600219726562
3101265,300159,1,44.349998474121094
5120698,187399,1,53.4900016784668
5512907,659290,3,319.3399963378906
7550508,140154,2,171.1999969482422
8701796,672059,2,672.72998046875
9408428,124290,1,39.650001525878906
10161194,382511,1,702.5399780273438
10448052,945635,2,778.9000244140625
11467999,747801,3,277.760009765625
14103943,228286,1,179.0800018310547
15642223,937542,3,97.04000091552734
16878685,432617,2,863.1799926757812
22830983,890232,3,432.0
23158044,669378,1,212.13999938964844
27296314,313754,2,136.60000610351562
32604190,812607,3,416.6499938964844
32613017,451812,1,530.8499755859375
35135941,306177,1,769.239990234375
38408517,378287,2,332.8399963378906
39405769,880510,2,951.4299926757812
39791095,700048,3,141.27999877929688
42332130,365133,1,915.4500122070312
47467466,120385,1,597.9099731445312
47953423,585299,1,799.4600219726562
50845914,478531,3,825.4600219726562
52324496,888807,2,230.5800018310547
56705032,692985,2,197.38999938964844
59461109,991434,3,237.6199951171875
63363146,136533,2,826.2100219726562
65827885,324809,3,608.0
69932727,753354,3,423.55999755859375
71793937,94225,1,77.11000061035156
72748189,36412,3,397.67999267578125
77053363,883013,3,989.8800048828125
79029185,820973,3,114.5199966430664
80296810,33955,2,186.0800018310547
87784691,70969,2,631.7000122070312
89194627,897083,3,972.6900024414062
99708985,760684,2,71.5999984741211
99905061,492958,1,84.19999694824219
101613683,784827,2,274.25
101816977,677169,2,261.0299987792969
102639985,89084,2,598.8300170898438
103589925,542300,3,255.35000610351562
105578518,329351,3,310.8699951171875
110303417,654623,3,422.1400146484375
111296281,378230,3,166.4199981689453
112658009,604184,1,397.54998779296875
114306835,448752,3,160.07000732421875
114851727,11422,1,127.16000366210938
120178110,739534,3,994.5599975585938
120996684,690565,2,951.27001953125
121874867,952124,3,127.08000183105469
125551624,669378,2,212.13999938964844
127277515,654297,3,13.25
131913576,871592,3,870.2899780273438
135053432,500739,1,359.9800109863281
137089318,39154,2,946.8599853515625
139417019,992178,1,632.4299926757812
140980199,492958,2,84.19999694824219
143399998,187399,2,53.4900016784668
145057465,26060,3,342.94000244140625
147066568,832348,2,831.4299926757812
148408710,448752,2,160.07000732421875
155295996,365133,3,915.4500122070312
155568486,807452,1,144.19000244140625
155669553,714999,1,882.510009765625
156346853,490602,1,549.469970703125
159394992,473929,1,440.19000244140625
163895717,654623,2,422.1400146484375
168067196,563740,1,96.33000183105469
168180571,136533,1,826.2100219726562
168804744,925482,1,475.0400085449219
169590729,897083,1,972.6900024414062
169867835,927651,3,426.7200012207031
172987148,901144,3,340.3599853515625
173709007,306177,3,769.239990234375
174306009,832348,1,831.4299926757812
176509722,883013,1,989.8800048828125
177850987,237083,2,577.1300048828125
178737268,942001,3,671.5499877929688
183165359,762527,3,690.0800170898438
184844043,349294,3,934.75
186083059,337168,3,545.489990234375
187728451,880510,1,951.4299926757812
189431942,51036,3,931.6099853515625
192109127,721521,2,417.3900146484375
194459698,760684,1,71.5999984741211
196885435,451812,2,530.8499755859375
199903168,847349,3,781.0800170898438
200000051,552496,1,508.0
202466684,642612,1,517.030029296875
203136866,6405,1,236.50999450683594
208989475,432617,2,863.1799926757812
209044447,757274,2,98.31999969482422
210693801,432617,3,863.1799926757812
212856641,26060,1,342.94000244140625
213972345,927651,3,426.7200012207031
214919848,328457,1,858.5700073242188
218670241,131748,1,81.3499984741211
218821567,589812,3,163.02999877929688
222955546,566052,1,87.30000305175781
225195662,658389,2,152.5500030517578
227162938,991434,2,237.6199951171875
227511348,513199,1,422.2300109863281
231328814,820541,3,576.219970703125
233646065,803607,1,949.72998046875
238484255,354409,3,325.0799865722656
238520071,537274,2,702.7100219726562
239830094,317242,3,198.14999389648438
242240959,60619,3,726.4099731445312
243077069,602241,1,976.5499877929688
243819964,880510,3,951.4299926757812
246971181,901144,1,340.3599853515625
252964377,240179,2,90.55999755859375
253430904,14145,2,630.8400268554688
259622674,154179,2,582.8699951171875
259772553,34200,2,319.79998779296875
262562615,264803,3,995.97998046875
266072469,432617,3,863.1799926757812
267738904,606256,2,369.2799987792969
271744331,153019,3,947.9500122070312
274320517,153019,2,947.9500122070312
274530126,851978,3,715.719970703125
274863669,990993,1,263.70001220703125
277376321,94225,3,77.11000061035156
277502363,667163,1,441.20001220703125
277700053,552496,2,508.0
278794976,378676,3,881.4199829101562
279851011,34186,3,925.6500244140625
281421547,760684,2,71.5999984741211
282887897,491521,3,556.3499755859375
283675535,53833,3,134.69000244140625
291439357,615545,2,448.1600036621094
291900074,376447,3,724.8400268554688
293770293,876139,1,415.75
299059193,567671,2,418.4800109863281
299859815,707935,2,820.9000244140625
304166272,913428,3,392.2200012207031
305684588,709916,3,33.7599983215332
310213322,880510,2,951.4299926757812
313663478,14145,1,630.8400268554688
327291657,317242,1,198.14999389648438
328909145,681063,3,321.2799987792969
329790912,305754,1,979.989990234375
332975964,490602,1,549.469970703125
335575667,77308,3,223.27000427246094
336103625,500633,3,154.5
336832815,647462,3,326.4200134277344
338609144,349294,3,934.75
339410846,760684,1,71.5999984741211
340050407,880510,1,951.4299926757812
340113260,621677,1,317.79998779296875
340451825,552496,3,508.0
341580530,706112,2,478.7900085449219
343050015,146840,2,786.8499755859375
343239069,455083,3,959.010009765625
343300311,962591,2,130.00999450683594
343479370,566052,1,87.30000305175781
344177904,970529,1,827.4400024414062
344554037,140154,3,171.1999969482422
347093563,313754,3,136.60000610351562
348782569,644847,1,622.8099975585938
349410429,34186,3,925.6500244140625
350719542,555121,2,354.9100036621094
352037003,992178,3,632.4299926757812
352569720,757274,1,98.31999969482422
353571238,552496,3,508.0
354149805,382511,3,702.5399780273438
356236208,365133,1,915.4500122070312
356495722,807452,2,144.19000244140625
357437373,667163,3,441.20001220703125
359819834,952168,2,236.9499969482422
361595059,700048,1,141.27999877929688
365104159,771228,2,83.18000030517578
368599691,890232,1,432.0
369899578,525531,1,831.0999755859375
372962997,684939,1,727.9500122070312
374186990,760828,2,563.4500122070312
378485826,555121,1,354.9100036621094
379494532,654297,3,13.25
379758677,171602,2,883.4400024414062
387311360,903336,1,551.8800048828125
