product_id,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level
4452,Baby Wipes,Baby Care,Morar-Mistry,169.8800048828125,242.69000244140625,30.0,365,27,100
6405,Baby Food,Baby Care,Kashyap-Reddy,236.50999450683594,337.8699951171875,30.0,365,11,81
9436,Toothpaste,Personal Care,Naidu PLC,88.43000030517578,136.0500030517578,35.0,365,19,76
11422,Potatoes,Fruits & Vegetables,Ramaswamy-Tata,127.16000366210938,169.5500030517578,25.0,3,20,65
14145,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",630.8400268554688,841.1199951171875,25.0,3,14,53
15314,Cheese,Dairy & Breakfast,Banik-Ratta,578.8499755859375,723.5599975585938,20.0,7,30,91
18035,Dish Soap,Household Care,Ramesh Inc,968.9400024414062,1291.9200439453125,25.0,365,12,87
26060,Vitamins,Pharmacy,Shah and Sons,342.94000244140625,428.6700134277344,20.0,365,25,57
33797,Pain Reliever,Pharmacy,Gaba LLC,888.1199951171875,1110.1500244140625,20.0,365,12,51
33955,Frozen Pizza,Instant & Frozen Food,Baral Group,186.0800018310547,310.1300048828125,40.0,180,29,84
34186,Mangoes,Fruits & Vegetables,Mandal-Kar,925.6500244140625,1234.199951171875,25.0,3,27,74
34200,Lotion,Personal Care,Munshi-Grewal,319.79998779296875,492.0,35.0,365,19,75
36412,Dish Soap,Household Care,Muni-Shankar,397.67999267578125,530.239990234375,25.0,365,27,92
39154,Mangoes,Fruits & Vegetables,"Suresh, Bose and Bajwa",946.8599853515625,1262.47998046875,25.0,3,21,84
41853,Curd,Dairy & Breakfast,Handa PLC,910.4400024414062,1138.050048828125,20.0,7,14,92
51036,Baby Food,Baby Care,Karnik PLC,931.6099853515625,1330.8699951171875,30.0,365,12,86
52729,Cat Food,Pet Care,Saini LLC,316.0199890136719,486.17999267578125,35.0,365,25,100
53833,Rice,Grocery & Staples,Tella-Master,134.69000244140625,158.4600067138672,15.0,365,26,89
56589,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",517.77001953125,647.2100219726562,20.0,365,16,85
57405,Baby Food,Baby Care,Srinivas PLC,607.6699829101562,868.0999755859375,30.0,365,21,64
60619,Iced Tea,Cold Drinks & Juices,Bhasin LLC,726.4099731445312,1037.72998046875,30.0,180,10,97
63769,Lotion,Personal Care,Dalal-Shan,878.0700073242188,1350.8800048828125,35.0,365,27,69
67197,Butter,Dairy & Breakfast,Shetty-Bora,552.2000122070312,690.25,20.0,7,20,79
70969,Carrots,Fruits & Vegetables,Mohan Group,631.7000122070312,842.27001953125,25.0,3,25,96
77308,Onions,Fruits & Vegetables,Ratta-Sagar,223.27000427246094,297.69000244140625,25.0,3,29,91
82484,Baby Food,Baby Care,Mallick PLC,914.8800048828125,1306.969970703125,30.0,365,12,73
89084,Milk,Dairy & Breakfast,"Wali, Virk and Iyer",598.8300170898438,748.5399780273438,20.0,7,27,74
91670,Dish Soap,Household Care,Barman-Ahluwalia,439.239990234375,585.6500244140625,25.0,365,27,88
94225,Toilet Cleaner,Household Care,"Gulati, Ram and Sarkar",77.11000061035156,102.80999755859375,25.0,365,13,70
107548,Cola,Cold Drinks & Juices,"Bhandari, Bhasin and Palan",891.5999755859375,1273.7099609375,30.0,180,27,53
112390,Toothpaste,Personal Care,"Kibe, Contractor and Randhawa",877.97998046875,1350.739990234375,35.0,365,23,85
114414,Vitamins,Pharmacy,Kara-Golla,832.0599975585938,1040.0699462890625,20.0,365,26,66
118820,Iced Tea,Cold Drinks & Juices,"Warrior, Ravel and Amble",12.319999694824219,17.600000381469727,30.0,180,12,61
120385,Pet Treats,Pet Care,Dubey-Sarin,597.9099731445312,919.8599853515625,35.0,365,28,73
120532,Wheat Flour,Grocery & Staples,Nazareth Ltd,697.530029296875,820.6199951171875,15.0,365,29,95
123983,Cough Syrup,Pharmacy,Kurian-Chhabra,785.6699829101562,982.0900268554688,20.0,365,25,72
124290,Lotion,Personal Care,Sachdev Group,39.650001525878906,61.0,35.0,365,23,71
131136,Salt,Grocery & Staples,Deshpande-Rama,37.79999923706055,44.470001220703125,15.0,365,29,95
131748,Dog Food,Pet Care,"Shroff, Wason and Dugar",81.3499984741211,125.1500015258789,35.0,365,30,53
131937,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",287.80999755859375,479.67999267578125,40.0,180,18,68
133542,Detergent,Household Care,Edwin-Lall,68.48999786376953,91.31999969482422,25.0,365,21,72
136533,Eggs,Dairy & Breakfast,"Raghavan, Magar and Shanker",826.2100219726562,1032.760009765625,20.0,7,15,75
137909,Cough Syrup,Pharmacy,Dalal PLC,864.2999877929688,1080.3699951171875,20.0,365,23,65
140154,Shampoo,Personal Care,Malhotra LLC,171.1999969482422,263.3800048828125,35.0,365,24,59
140489,Soap,Personal Care,"Biswas, Kapoor and Patel",650.2000122070312,1000.3099975585938,35.0,365,28,95
144124,Detergent,Household Care,Lalla-Srinivasan,162.6699981689453,216.88999938964844,25.0,365,11,82
146840,Bread,Dairy & Breakfast,"Bains, Deol and Vaidya",786.8499755859375,983.5599975585938,20.0,7,19,89
153019,Onions,Fruits & Vegetables,Aurora LLC,947.9500122070312,1263.9300537109375,25.0,3,13,88
154179,Pain Reliever,Pharmacy,"Barad, Devi and Andra",582.8699951171875,728.5900268554688,20.0,365,10,59
171602,Cola,Cold Drinks & Juices,Pal-Sehgal,883.4400024414062,1262.06005859375,30.0,180,28,58
183929,Bread,Dairy & Breakfast,"Nagi, Sampath and Khurana",738.739990234375,923.4199829101562,20.0,7,20,73
186168,Dog Food,Pet Care,"Parekh, Lad and Kadakia",878.7999877929688,1352.0,35.0,365,13,75
187399,Frozen Pizza,Instant & Frozen Food,Chauhan Inc,53.4900016784668,89.1500015258789,40.0,180,14,73
194682,Iced Tea,Cold Drinks & Juices,Sastry-Issac,912.2899780273438,1303.27001953125,30.0,180,11,86
196719,Bananas,Fruits & Vegetables,Yogi Group,217.5,290.0,25.0,3,15,91
217710,Eggs,Dairy & Breakfast,Rout-Sarna,58.59000015258789,73.23999786376953,20.0,7,19,53
219598,Shampoo,Personal Care,Arora-Magar,367.0799865722656,564.739990234375,35.0,365,28,83
222892,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,869.219970703125,1158.9599609375,25.0,3,28,88
228286,Cola,Cold Drinks & Juices,Bhattacharyya PLC,179.0800018310547,255.8300018310547,30.0,180,26,79
237083,Cough Syrup,Pharmacy,Hayer-Banerjee,577.1300048828125,721.4099731445312,20.0,365,24,86
240179,Cough Syrup,Pharmacy,Ram-Suri,90.55999755859375,113.19999694824219,20.0,365,20,56
243235,Cat Food,Pet Care,Batta Inc,109.02999877929688,167.74000549316406,35.0,365,14,71
256051,Lotion,Personal Care,"Mannan, Naidu and Sama",400.9200134277344,616.7999877929688,35.0,365,17,100
256783,Pet Treats,Pet Care,"Basu, Thakur and Rege",906.5399780273438,1394.6800537109375,35.0,365,16,98
257719,Eggs,Dairy & Breakfast,Chaudhuri PLC,281.7300109863281,352.1600036621094,20.0,7,17,93
264803,Vitamins,Pharmacy,Gole-Doshi,995.97998046875,1244.969970703125,20.0,365,17,69
272170,Ice Cream,Instant & Frozen Food,Purohit Group,140.8000030517578,234.6699981689453,40.0,180,10,92
274207,Cough Syrup,Pharmacy,"Savant, Batta and Mander",328.510009765625,410.6400146484375,20.0,365,25,51
284460,Potatoes,Fruits & Vegetables,"Ramakrishnan, Anand and Khare",505.95001220703125,674.5999755859375,25.0,3,21,85
287070,Wheat Flour,Grocery & Staples,"Gala, Magar and Rajagopal",443.1700134277344,521.3800048828125,15.0,365,20,93
