store_id,brand,product_id,daily_revenue,orders_count,avg_unit_price,lag_1_qty,lag_7_qty,lag_14_qty,lag_30_qty,rolling_7_mean_qty,rolling_7_sum_qty,rolling_7_std_qty,rolling_14_mean_qty,rolling_14_sum_qty,rolling_14_std_qty,rolling_30_mean_qty,rolling_30_sum_qty,rolling_30_std_qty,growth_rate_7,trend_14,trend_30,trend_acceleration,rolling_7_mean_price,rolling_7_std_price,rolling_14_mean_price,rolling_14_std_price,rolling_30_mean_price,rolling_30_std_price,year,month,week,day,dayofweek,is_weekend,predicted_qty
1.0,"Basu, Thakur and Rege",256783,906.5399780273438,1,453.2697623787906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,7,27,2,1,0,1.9988725
2.0,Nadig Ltd,451933,568.9400024414062,1,568.9394335019728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,9,37,11,0,0,0.99703956
9.0,Chana LLC,712307,264.8900146484375,1,132.4449411017482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,10,41,11,2,0,2.000224
12.0,Lall LLC,820973,114.5199966430664,1,38.17331948991564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,12,21,3,0,3.0042148
14.0,Acharya Ltd,942001,671.5499877929688,1,335.7748260090713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,5,22,29,2,0,1.9994848
15.0,Dutta Inc,455083,959.010009765625,1,479.5047651304299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,9,36,9,5,1,1.9993969
16.0,Chadha and Sons,669378,212.13999938964844,1,106.06994665985088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,5,19,12,6,1,2.0034926
17.0,"Vaidya, Amble and Palla",903336,551.8800048828125,1,551.8794530033596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,10,9,5,1,1.0002121
18.0,Shetty and Sons,839170,481.6300048828125,1,481.6295232532893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,5,21,24,2,0,1.0019261
19.0,Acharya Ltd,942001,671.5499877929688,1,671.5493162436526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,5,21,23,3,0,1.0030807
20.0,Munshi-Grewal,34200,319.79998779296875,1,319.7996679933008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,3,21,6,1,0.9983255
22.0,Jha Group,578097,267.6099853515625,1,267.6097177418448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,12,49,10,6,1,0.9962581
25.0,"Anne, Mammen and Khatri",707935,820.9000244140625,1,410.4498069821277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,10,43,27,6,1,1.9991341
28.0,"Shere, Thakur and Naik",449106,48.54999923706055,1,48.54995068710986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,7,27,5,4,0,0.9966225
30.0,Kapadia-D’Alia,659290,319.3399963378906,1,106.44662996375357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,8,33,18,4,0,3.0011148
36.0,Saini LLC,52729,316.0199890136719,1,158.00991550187817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,7,27,7,4,0,1.9948338
39.0,"Ramakrishnan, Anand and Khare",284460,505.9500122070313,1,505.9495062575251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,7,27,5,4,0,0.99830353
