store_id,product_id,order_date,daily_qty,daily_revenue,orders_count,high_value_item_ratio,avg_unit_price,lag_1_qty,lag_7_qty,lag_14_qty,lag_30_qty,rolling_7_mean_qty,rolling_7_sum_qty,rolling_14_mean_qty,rolling_14_sum_qty,rolling_30_mean_qty,rolling_30_sum_qty,cumulative_qty,cumulative_revenue,rolling_30_std_qty,qty_growth_rate,day,month,year,day_of_week,is_weekend,is_month_start,is_month_end
1,256783,2024-07-02 22:31:53,2.0,1813.0799560546875,1,1.0,906.5399780273438,,,,,,,,,,,2.0,1813.0799560546875,,,2,7,2024,1,False,False,False
2,451933,2023-09-11 12:39:37,1.0,568.9400024414062,1,0.0,568.9400024414062,,,,,,,,,,,1.0,568.9400024414062,,,11,9,2023,0,False,False,False
9,712307,2023-10-11 23:57:41,2.0,529.780029296875,1,0.0,264.8900146484375,,,,,,,,,,,2.0,529.780029296875,,,11,10,2023,2,False,False,False
12,820973,2024-03-21 03:58:41,3.0,343.5599899291992,1,0.0,114.5199966430664,,,,,,,,,,,3.0,343.5599899291992,,,21,3,2024,3,False,False,False
14,942001,2024-05-29 02:36:15,2.0,1343.0999755859375,1,0.0,671.5499877929688,,,,,,,,,,,2.0,1343.0999755859375,,,29,5,2024,2,False,False,False
15,455083,2023-09-09 01:31:33,2.0,1918.02001953125,1,1.0,959.010009765625,,,,,,,,,,,2.0,1918.02001953125,,,9,9,2023,5,True,False,False
16,669378,2024-05-12 08:53:28,2.0,424.2799987792969,1,0.0,212.13999938964844,,,,,,,,,,,2.0,424.2799987792969,,,12,5,2024,6,True,False,False
17,903336,2024-03-09 03:58:13,1.0,551.8800048828125,1,0.0,551.8800048828125,,,,,,,,,,,1.0,551.8800048828125,,,9,3,2024,5,True,False,False
18,839170,2023-05-24 05:13:04,1.0,481.6300048828125,1,0.0,481.6300048828125,,,,,,,,,,,1.0,481.6300048828125,,,24,5,2023,2,False,False,False
19,942001,2024-05-23 22:19:58,1.0,671.5499877929688,1,0.0,671.5499877929688,,,,,,,,,,,1.0,671.5499877929688,,,23,5,2024,3,False,False,False
20,34200,2024-01-21 04:31:08,1.0,319.79998779296875,1,0.0,319.79998779296875,,,,,,,,,,,1.0,319.79998779296875,,,21,1,2024,6,True,False,False
22,578097,2023-12-10 10:59:33,1.0,267.6099853515625,1,0.0,267.6099853515625,,,,,,,,,,,1.0,267.6099853515625,,,10,12,2023,6,True,False,False
25,707935,2024-10-27 13:36:06,2.0,1641.800048828125,1,1.0,820.9000244140625,,,,,,,,,,,2.0,1641.800048828125,,,27,10,2024,6,True,False,False
28,449106,2024-07-05 13:41:54,1.0,48.54999923706055,1,0.0,48.54999923706055,,,,,,,,,,,1.0,48.54999923706055,,,5,7,2024,4,False,False,False
30,659290,2023-08-18 07:48:46,3.0,958.0199890136719,1,0.0,319.3399963378906,,,,,,,,,,,3.0,958.0199890136719,,,18,8,2023,4,False,False,False
36,52729,2023-07-07 19:53:54,2.0,632.0399780273438,1,0.0,316.0199890136719,,,,,,,,,,,2.0,632.0399780273438,,,7,7,2023,4,False,False,False
39,284460,2024-07-05 03:36:54,1.0,505.9500122070313,1,0.0,505.9500122070313,,,,,,,,,,,1.0,505.9500122070313,,,5,7,2024,4,False,False,False
40,300159,2024-07-16 01:14:38,3.0,133.04999542236325,1,0.0,44.34999847412109,,,,,,,,,,,3.0,133.04999542236325,,,16,7,2024,1,False,False,False
43,623234,2023-04-01 22:04:42,1.0,329.7900085449219,1,0.0,329.7900085449219,,,,,,,,,,,1.0,329.7900085449219,,,1,4,2023,5,True,True,False
45,491314,2024-06-26 14:28:44,3.0,2920.3200073242188,1,1.0,973.4400024414062,,,,,,,,,,,3.0,2920.3200073242188,,,26,6,2024,2,False,False,False
47,820541,2024-09-02 02:58:44,3.0,1728.659912109375,1,0.0,576.219970703125,,,,,,,,,,,3.0,1728.659912109375,,,2,9,2024,0,False,False,False
48,324809,2024-01-01 09:56:45,2.0,1216.0,1,0.0,608.0,,,,,,,,,,,2.0,1216.0,,,1,1,2024,0,False,True,False
49,891833,2024-08-28 09:38:14,1.0,493.1900024414063,1,0.0,493.1900024414063,,,,,,,,,,,1.0,493.1900024414063,,,28,8,2024,2,False,False,False
53,557908,2024-09-12 03:52:26,3.0,2827.109985351563,1,1.0,942.3699951171876,,,,,,,,,,,3.0,2827.109985351563,,,12,9,2024,3,False,False,False
55,784673,2024-08-05 15:22:23,2.0,982.780029296875,1,0.0,491.3900146484375,,,,,,,,,,,2.0,982.780029296875,,,5,8,2024,0,False,False,False
