order_id,product_id,quantity,unit_price,total_price
60465,361361,2,826.2100219726562,1652.4200439453125
2237858,585299,1,799.4600219726562,799.4600219726562
3101265,300159,1,44.349998474121094,44.349998474121094
5120698,187399,1,53.4900016784668,53.4900016784668
5512907,659290,3,319.3399963378906,958.0199890136719
7550508,140154,2,171.1999969482422,342.3999938964844
8701796,672059,2,672.72998046875,1345.4599609375
9408428,124290,1,39.650001525878906,39.650001525878906
10161194,382511,1,702.5399780273438,702.5399780273438
10448052,945635,2,778.9000244140625,1557.800048828125
11467999,747801,3,277.760009765625,833.280029296875
14103943,228286,1,179.0800018310547,179.0800018310547
15642223,937542,3,97.04000091552734,291.12000274658203
16878685,432617,2,863.1799926757812,1726.3599853515625
22830983,890232,3,432.0,1296.0
23158044,669378,1,212.13999938964844,212.13999938964844
27296314,313754,2,136.60000610351562,273.20001220703125
32604190,812607,3,416.6499938964844,1249.9499816894531
32613017,451812,1,530.8499755859375,530.8499755859375
35135941,306177,1,769.239990234375,769.239990234375
38408517,378287,2,332.8399963378906,665.6799926757812
39405769,880510,2,951.4299926757812,1902.8599853515625
39791095,700048,3,141.27999877929688,423.8399963378906
42332130,365133,1,915.4500122070312,915.4500122070312
47467466,120385,1,597.9099731445312,597.9099731445312
47953423,585299,1,799.4600219726562,799.4600219726562
50845914,478531,3,825.4600219726562,2476.3800659179688
52324496,888807,2,230.5800018310547,461.1600036621094
56705032,692985,2,197.38999938964844,394.7799987792969
59461109,991434,3,237.6199951171875,712.8599853515625
63363146,136533,2,826.2100219726562,1652.4200439453125
65827885,324809,3,608.0,1824.0
69932727,753354,3,423.55999755859375,1270.6799926757812
71793937,94225,1,77.11000061035156,77.11000061035156
72748189,36412,3,397.67999267578125,1193.0399780273438
77053363,883013,3,989.8800048828125,2969.6400146484375
79029185,820973,3,114.5199966430664,343.5599899291992
80296810,33955,2,186.0800018310547,372.1600036621094
87784691,70969,2,631.7000122070312,1263.4000244140625
89194627,897083,3,972.6900024414062,2918.0700073242188
99708985,760684,2,71.5999984741211,143.1999969482422
99905061,492958,1,84.19999694824219,84.19999694824219
101613683,784827,2,274.25,548.5
101816977,677169,2,261.0299987792969,522.0599975585938
