order_id,customer_id,order_date,order_total,payment_method,store_id,promised_delivery_time,actual_delivery_time,delivery_status,delivery_delay_hrs
60465,15808945,2024-10-23 05:23:29,589.469970703125,Upi,3943,2024-10-23 05:34:29,2024-10-23 05:39:29,On Time,0.08333333333333333
2237858,48281892,2023-04-02 03:45:11,3835.260009765625,Wallet,1987,2023-04-02 04:00:11,2023-04-02 04:03:11,On Time,0.05
3101265,89617089,2024-05-23 03:21:47,3567.72998046875,Upi,974,2024-05-23 03:37:47,2024-05-23 03:40:47,On Time,0.05
5120698,44174426,2023-06-09 12:10:20,3064.360107421875,Wallet,3184,2023-06-09 12:25:20,2023-06-09 12:40:20,Slightly Delayed,0.25
5512907,51476157,2023-04-30 20:52:21,861.530029296875,Wallet,419,2023-04-30 21:11:21,2023-04-30 21:26:21,Slightly Delayed,0.25
7550508,93127511,2023-10-20 10:54:27,1067.6800537109375,Card,70,2023-10-20 11:07:27,2023-10-20 11:06:27,On Time,-0.016666666666666666
8701796,14479168,2024-08-19 19:01:44,215.64999389648438,Cash,1925,2024-08-19 19:14:44,2024-08-19 19:23:44,Slightly Delayed,0.15
9408428,31456752,2023-08-30 13:34:14,1911.8599853515625,Upi,9889,2023-08-30 13:54:14,2023-08-30 13:50:14,On Time,-0.06666666666666667
10161194,63238941,2023-12-24 23:10:35,3827.5400390625,Card,6592,2023-12-24 23:28:35,2023-12-24 23:31:35,On Time,0.05
10448052,90021871,2023-08-05 10:01:05,1228.8599853515625,Upi,1064,2023-08-05 10:21:05,2023-08-05 10:26:05,On Time,0.08333333333333333
11467999,78267238,2023-04-23 18:37:26,3051.18994140625,Upi,5146,2023-04-23 18:57:26,2023-04-23 19:11:26,Slightly Delayed,0.23333333333333334
14103943,9105829,2023-11-24 08:47:35,1538.300048828125,Cash,6791,2023-11-24 09:07:35,2023-11-24 09:18:35,Slightly Delayed,0.18333333333333332
15642223,85020453,2023-11-06 21:10:23,1712.739990234375,Cash,864,2023-11-06 21:24:23,2023-11-06 21:27:23,On Time,0.05
16878685,37556526,2024-04-09 02:29:02,4267.93994140625,Cash,9683,2024-04-09 02:44:02,2024-04-09 02:47:02,On Time,0.05
22830983,92404798,2023-06-04 21:10:12,3061.389892578125,Upi,2086,2023-06-04 21:26:12,2023-06-04 21:44:12,Significantly Delayed,0.3
23158044,31681710,2023-05-19 19:28:28,2726.699951171875,Upi,919,2023-05-19 19:41:28,2023-05-19 19:41:28,On Time,0.0
27296314,64562786,2024-10-17 16:13:30,3866.080078125,Upi,3986,2024-10-17 16:24:30,2024-10-17 16:46:30,Significantly Delayed,0.36666666666666664
32604190,51503088,2023-12-08 09:08:03,1169.8399658203125,Wallet,7220,2023-12-08 09:19:03,2023-12-08 09:16:03,On Time,-0.05
32613017,82594354,2023-03-17 00:20:41,2354.280029296875,Card,3364,2023-03-17 00:36:41,2023-03-17 00:36:41,On Time,0.0
35135941,28205701,2024-07-29 18:08:33,1216.1600341796875,Upi,229,2024-07-29 18:26:33,2024-07-29 18:21:33,On Time,-0.08333333333333333
38408517,39674723,2023-11-26 08:38:03,88.43000030517578,Cash,5135,2023-11-26 08:58:03,2023-11-26 09:20:03,Significantly Delayed,0.36666666666666664
39405769,24621386,2023-04-07 12:46:40,941.25,Card,9711,2023-04-07 12:56:40,2023-04-07 13:11:40,Slightly Delayed,0.25
39791095,625395,2024-04-06 10:58:05,480.8500061035156,Card,9008,2024-04-06 11:17:05,2024-04-06 11:22:05,On Time,0.08333333333333333
42332130,70363568,2024-10-17 17:08:04,1441.0699462890625,Wallet,9022,2024-10-17 17:18:04,2024-10-17 17:15:04,On Time,-0.05
47467466,55693909,2023-09-05 16:53:11,102.44000244140625,Wallet,2532,2023-09-05 17:04:11,2023-09-05 17:02:11,On Time,-0.03333333333333333
47953423,96806748,2024-02-27 00:13:46,2094.280029296875,Upi,6448,2024-02-27 00:28:46,2024-02-27 00:32:46,On Time,0.06666666666666667
50845914,54893418,2023-04-09 04:18:56,3226.43994140625,Card,4686,2023-04-09 04:37:56,2023-04-09 04:34:56,On Time,-0.05
52324496,81605722,2024-02-23 17:32:54,560.5399780273438,Card,4009,2024-02-23 17:47:54,2024-02-23 17:52:54,On Time,0.08333333333333333
56705032,63060947,2023-11-16 04:30:25,3069.97998046875,Upi,8706,2023-11-16 04:40:25,2023-11-16 04:54:25,Slightly Delayed,0.23333333333333334
59461109,67708491,2023-05-06 13:44:41,2017.97998046875,Upi,5800,2023-05-06 13:55:41,2023-05-06 13:55:41,On Time,0.0
63363146,16410155,2023-07-12 01:33:45,4207.7099609375,Cash,3833,2023-07-12 01:50:45,2023-07-12 02:05:45,Slightly Delayed,0.25
65827885,47577193,2023-07-27 00:13:05,1132.97998046875,Cash,3817,2023-07-27 00:25:05,2023-07-27 00:20:05,On Time,-0.08333333333333333
69932727,83236183,2024-08-28 16:10:09,2192.280029296875,Wallet,6580,2024-08-28 16:25:09,2024-08-28 16:20:09,On Time,-0.08333333333333333
71793937,13189939,2024-04-20 23:44:39,2269.580078125,Cash,9947,2024-04-21 00:02:39,2024-04-21 00:00:39,On Time,-0.03333333333333333
72748189,82286725,2023-06-18 06:33:23,3654.10009765625,Wallet,4974,2023-06-18 06:47:23,2023-06-18 07:06:23,Significantly Delayed,0.31666666666666665
77053363,74172010,2023-05-04 19:19:43,4566.2099609375,Upi,2000,2023-05-04 19:38:43,2023-05-04 19:38:43,On Time,0.0
79029185,39645619,2024-06-06 13:46:34,1039.3199462890625,Cash,5208,2024-06-06 14:05:34,2024-06-06 14:20:34,Slightly Delayed,0.25
80296810,21677923,2024-06-05 03:37:45,4283.330078125,Cash,2319,2024-06-05 03:52:45,2024-06-05 03:51:45,On Time,-0.016666666666666666
87784691,92583164,2024-09-29 00:51:06,534.5499877929688,Wallet,3159,2024-09-29 01:10:06,2024-09-29 01:13:06,On Time,0.05
89194627,37947202,2024-03-06 18:11:09,2925.550048828125,Upi,9507,2024-03-06 18:27:09,2024-03-06 18:24:09,On Time,-0.05
99708985,91130614,2023-11-19 04:29:38,2255.0,Card,6116,2023-11-19 04:46:38,2023-11-19 04:55:38,Slightly Delayed,0.15
99905061,47590944,2023-11-16 20:08:23,2948.85009765625,Card,442,2023-11-16 20:26:23,2023-11-16 20:34:23,Slightly Delayed,0.13333333333333333
